label,precision,recall,f1-score,support
emotion.anger,0.14,0.08,0.11,12.0
emotion.anticipation,0.5,0.17,0.25,6.0
emotion.disgust,0.47,0.29,0.36,28.0
emotion.fear,0.0,0.0,0.0,2.0
emotion.joy,0.58,0.73,0.65,56.0
emotion.sadness,0.14,0.07,0.1,14.0
emotion.surprise,0.33,0.42,0.37,40.0
emotion.trust,0.0,0.0,0.0,7.0
emotion.weighted,0.4,0.42,0.39,165.0
relation.complementary,0.98,1.0,0.99,104.0
relation.decorative,0.0,0.0,0.0,13.0
relation.illustrative,0.61,0.52,0.56,48.0
relation.image only,0.29,0.12,0.17,17.0
relation.opposite,0.0,0.0,0.0,2.0
relation.weighted,0.74,0.71,0.72,184.0
stimulus.ad,0.0,0.0,0.0,4.0
stimulus.animal,0.11,0.08,0.1,12.0
stimulus.art/drawing,0.5,0.11,0.18,18.0
stimulus.event/situation,0.29,0.13,0.18,15.0
stimulus.food,1.0,0.25,0.4,8.0
stimulus.meme,0.2,0.11,0.14,9.0
stimulus.object,0.38,0.22,0.28,23.0
stimulus.person,0.26,0.2,0.23,30.0
stimulus.place,0.0,0.0,0.0,5.0
stimulus.screenshot,0.56,0.69,0.62,51.0
stimulus.weighted,0.4,0.31,0.32,175.0
