label,precision,recall,f1-score,support
emotion.anger,0.0,0.0,0.0,12.0
emotion.anticipation,0.0,0.0,0.0,6.0
emotion.disgust,0.53,0.32,0.4,28.0
emotion.fear,0.0,0.0,0.0,2.0
emotion.joy,0.77,0.86,0.81,56.0
emotion.sadness,0.0,0.0,0.0,14.0
emotion.surprise,0.72,0.65,0.68,40.0
emotion.trust,0.0,0.0,0.0,7.0
emotion.weighted,0.53,0.5,0.51,165.0
relation.complementary,0.98,1.0,0.99,104.0
relation.decorative,0.0,0.0,0.0,13.0
relation.illustrative,0.73,0.69,0.71,48.0
relation.image only,0.0,0.0,0.0,17.0
relation.opposite,0.0,0.0,0.0,2.0
relation.weighted,0.75,0.74,0.74,184.0
stimulus.ad,0.0,0.0,0.0,4.0
stimulus.animal,1.0,0.25,0.4,12.0
stimulus.art/drawing,0.0,0.0,0.0,18.0
stimulus.event/situation,0.0,0.0,0.0,15.0
stimulus.food,0.0,0.0,0.0,8.0
stimulus.meme,0.0,0.0,0.0,9.0
stimulus.object,0.75,0.26,0.39,23.0
stimulus.person,0.93,0.43,0.59,30.0
stimulus.place,0.0,0.0,0.0,5.0
stimulus.screenshot,0.82,0.92,0.87,51.0
stimulus.weighted,0.57,0.39,0.43,175.0
