label,precision,recall,f1-score,support
emotion.anger,0.2,0.08,0.12,12.0
emotion.anticipation,0.0,0.0,0.0,6.0
emotion.disgust,0.72,0.46,0.57,28.0
emotion.fear,0.0,0.0,0.0,2.0
emotion.joy,0.77,0.88,0.82,56.0
emotion.sadness,0.67,0.14,0.24,14.0
emotion.surprise,0.58,0.65,0.61,40.0
emotion.trust,1.0,0.14,0.25,7.0
emotion.weighted,0.64,0.56,0.56,165.0
relation.complementary,0.98,1.0,0.99,104.0
relation.decorative,0.0,0.0,0.0,13.0
relation.illustrative,0.65,0.83,0.73,48.0
relation.image only,0.43,0.18,0.25,17.0
relation.opposite,0.0,0.0,0.0,2.0
relation.weighted,0.76,0.8,0.77,184.0
stimulus.ad,1.0,0.25,0.4,4.0
stimulus.animal,0.75,0.5,0.6,12.0
stimulus.art/drawing,0.61,0.61,0.61,18.0
stimulus.event/situation,0.25,0.2,0.22,15.0
stimulus.food,0.83,0.62,0.71,8.0
stimulus.meme,0.3,0.33,0.32,9.0
stimulus.object,0.62,0.57,0.59,23.0
stimulus.person,0.81,0.87,0.84,30.0
stimulus.place,0.0,0.0,0.0,5.0
stimulus.screenshot,0.79,0.8,0.8,51.0
stimulus.weighted,0.66,0.62,0.63,175.0
